section,metric,tier,V1_n,V1_mean,V1_stdev,V1_min,V1_max,V2_n,V2_mean,V2_stdev,V2_min,V2_max,difference_v2_minus_v1,percent_difference,winner,sign_test_p,sign_test_unanimous,seed,arm,value,nnz,input_type,V1_lift,V2_lift,V1_decode_validity,V2_decode_validity
per_seed,valid_exact_accuracy,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,0.112793,,,,,,
per_seed,valid_token_accuracy,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,0.702799,,,,,,
per_seed,valid_greedy_token_accuracy,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,0.688314,,,,,,
per_seed,valid_perfect_accuracy,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,0.112793,,,,,,
per_seed,valid_mean_distance,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,5.688,,,,,,
per_seed,valid_decode_failure_rate,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,0.0,,,,,,
per_seed,samples_per_second,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,112.002,,,,,,
per_seed,tokens_per_second,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,336.0,,,,,,
per_seed,elapsed_seconds,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,1233.3644239902496,,,,,,
per_seed,rss_mb,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,365.46484375,,,,,,
per_seed,parameter_count,,,,,,,,,,,,,,,,,42,V2_NACT_Te2,4241288,,,,,,
per_seed,valid_loss,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,0.893135,,,,,,
per_seed,valid_acc_tau,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,0.987305,,,,,,
per_seed,valid_exact_accuracy,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,0.119141,,,,,,
per_seed,valid_token_accuracy,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,0.704427,,,,,,
per_seed,valid_greedy_token_accuracy,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,0.692057,,,,,,
per_seed,valid_perfect_accuracy,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,0.119141,,,,,,
per_seed,valid_mean_distance,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,5.6323,,,,,,
per_seed,valid_decode_failure_rate,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,0.0,,,,,,
per_seed,samples_per_second,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,116.565,,,,,,
per_seed,tokens_per_second,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,349.7,,,,,,
per_seed,elapsed_seconds,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,1074.8543629646301,,,,,,
per_seed,rss_mb,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,391.22265625,,,,,,
per_seed,parameter_count,,,,,,,,,,,,,,,,,123,V2_NACT_Te2,4241288,,,,,,
sparsity,,,,,,,,,,,,,,,,,,,,,12,training_distribution,0.140625,0.7671,1.0,1.0
sparsity,,,,,,,,,,,,,,,,,,,,,12,sparse_random,0.130859375,0.7642,1.0,1.0
sparsity,,,,,,,,,,,,,,,,,,,,,10,sparse_random,0.09912109375,0.7402,0.99853515625,1.0
sparsity,,,,,,,,,,,,,,,,,,,,,8,sparse_random,0.07177734375,0.7231,0.998046875,1.0
sparsity,,,,,,,,,,,,,,,,,,,,,6,sparse_random,-0.052734375,0.5879,0.98779296875,1.0
sparsity,,,,,,,,,,,,,,,,,,,,,4,sparse_random,-0.1787109375,0.4243,0.951171875,1.0
sparsity,,,,,,,,,,,,,,,,,,,,,2,sparse_random,-0.373046875,0.2158,0.779296875,1.0
sparsity,,,,,,,,,,,,,,,,,,,,,1,sparse_random,-0.47998046875,0.1196,0.5302734375,1.0
sparsity,,,,,,,,,,,,,,,,,,,,,1,probe_K_times_e_i,-0.44166666666666665,0.1167,0.4166666666666667,1.0
